FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
VJFD11,PAPÉIS,N/A,N/A,N/A,"0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"664.482.753,93","136,27",N/A,"0,66 %","0,15 %","0,81 %","6,62 %",39,N/A,97,N/A,N/A,N/A
VLIQ11,INDEFINIDO,N/A,N/A,N/A,"5,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
VLOL11,LAJES CORPORATIVAS,"98,00","160.238,13","0,88","16,30",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"198.219.080,15","111,06","0,88","0,55 %","-0,14 %","0,40 %","14,11 %",1,"15,87",3.127,N/A,N/A,N/A
VOTS11,PAPÉIS,"81,98","9.836,81","0,86","0,95","0,00 %","2,25 %","5,21 %","12,45 %","0,75 %","0,87 %","1,04 %","13,91 %","0,00 %","0,00 %",N/A,"77.615.171,46","93,75","0,87","0,95 %","0,49 %","1,45 %","10,56 %",0,"21,13",683,N/A,N/A,N/A
VRTA11,PAPÉIS,"87,70","2.147.490,24","0,95","0,75","0,84 %","2,42 %","4,71 %","11,22 %","0,81 %","0,79 %","0,94 %","11,22 %","0,35 %","1,19 %","11,96 %","1.453.127.352,44","93,19","0,94","0,75 %","2,22 %","2,98 %","12,30 %",0,"10,49",125.012,N/A,N/A,N/A
VSEC11,PAPÉIS,"0,21","2,50","0,07","2,05",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"182.284,39",N/A,N/A,N/A,N/A,N/A,N/A,0,"1.340,33",64,N/A,N/A,N/A
VSHO11,SHOPPINGS,"83,88","63.867,86","0,83","0,70","0,00 %","1,76 %","4,64 %","10,64 %","0,59 %","0,77 %","0,89 %","10,81 %","0,00 %","0,00 %",N/A,"212.470.994,55","101,23","0,83","0,74 %","1,87 %","2,63 %","7,38 %",3,"18,88",3.768,N/A,N/A,N/A
VSLH11,PAPÉIS,"4,26","267.452,33","0,40","0,04","0,97 %","3,05 %","5,22 %","9,98 %","1,02 %","0,87 %","0,83 %","9,21 %","18,05 %","19,20 %","-50,32 %","314.866.175,27","10,54","0,40","0,38 %","1,44 %","1,83 %","21,24 %",0,"47,73",88.373,N/A,N/A,N/A
VTLT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"95,00","122.081,43","0,94","0,89","0,00 %","1,82 %","4,52 %","10,18 %","0,61 %","0,75 %","0,85 %","10,23 %","0,00 %","0,00 %",N/A,"213.957.080,72","101,16","0,94","0,87 %","0,43 %","1,30 %","8,81 %",1,"18,16",6.106,N/A,N/A,N/A
VTPL11,PAPÉIS,N/A,N/A,N/A,"5,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"106.633.273,72",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,53,N/A,N/A,N/A
VVCO11,LAJES CORPORATIVAS,"13,58","343.227,00","1,00","11,16","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","0,00 %","0,00 %",N/A,"134.040.330,48",N/A,N/A,N/A,N/A,N/A,N/A,1,"25,17",3.658,N/A,N/A,N/A
VVCR11,PAPÉIS,"20,69","19.346,29","0,93","0,18","0,95 %","1,48 %","6,79 %","30,03 %","0,49 %","1,13 %","2,50 %","31,25 %","-10,08 %","-9,23 %","-15,44 %","41.212.338,83",N/A,N/A,N/A,N/A,N/A,N/A,0,"42,57",2.880,N/A,N/A,N/A
VVPR11,MISTO,"101,50","1.249.061,55","1,04","0,89","0,89 %","2,47 %","4,88 %","9,72 %","0,82 %","0,81 %","0,81 %","6,65 %","0,40 %","1,30 %","15,02 %","226.032.234,18","98,03","1,04","0,74 %","-0,10 %","0,64 %","0,09 %",6,"3,43",1.372,N/A,N/A,N/A
VVRI11,INDEFINIDO,"95,00","282.390,95","1,04","1,30","1,31 %","3,91 %","8,06 %","11,08 %","1,30 %","1,34 %","1,39 %","11,08 %","-1,10 %","0,20 %","10,18 %","38.128.982,33",N/A,N/A,N/A,N/A,N/A,N/A,1,"27,87",118,N/A,N/A,N/A
VXXV11,FUNDO DE DESENVOLVIMENTO,"1.020,00","5.583.650,00","0,90","10,76","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"302.805.133,65",N/A,N/A,N/A,N/A,N/A,N/A,2,"9,45",22,N/A,N/A,N/A
WPLZ11,SHOPPINGS,"67,25","4.606,86","0,76","0,41","0,63 %","2,01 %","3,78 %","7,92 %","0,67 %","0,63 %","0,66 %","7,92 %","8,06 %","8,74 %","-13,00 %","92.645.263,58","87,03","0,77","0,47 %","-0,88 %","-0,41 %","-10,51 %",1,"39,99",1.869,N/A,N/A,N/A
WSEC11,INDEFINIDO,"83,95","14.609,10","0,83","1,20","1,40 %","3,95 %","7,16 %","14,06 %","1,32 %","1,19 %","1,17 %","15,21 %","-1,04 %","0,35 %","2,84 %","24.815.360,36",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,37",467,N/A,N/A,N/A
WTSP11B,MISTO,"36,00","3.852,00","0,50","0,33","0,00 %","0,00 %","1,77 %","4,80 %","0,00 %","0,30 %","0,40 %","3,56 %","0,00 %","0,00 %",N/A,"72.179.699,45","72,72","0,50","0,45 %","0,33 %","0,79 %","-2,05 %",2,"86,43",201,N/A,N/A,N/A
XPCA11,INDEFINIDO,"9,28","2.128.870,10","0,97","0,12","1,29 %","3,64 %","7,49 %","15,20 %","1,21 %","1,25 %","1,27 %","15,20 %","0,00 %","1,29 %","12,31 %","432.329.077,31","9,50","0,98","1,16 %","0,10 %","1,26 %","13,88 %",0,"11,60",90.057,N/A,N/A,N/A
XPCI11,PAPÉIS,"88,71","1.809.200,33","0,93","0,76","0,87 %","2,89 %","6,15 %","13,00 %","0,96 %","1,03 %","1,08 %","13,00 %","1,18 %","2,06 %","21,67 %","812.071.438,19","93,32","0,95","0,86 %","1,62 %","2,49 %","11,56 %",0,"15,58",77.328,N/A,N/A,N/A
XPCM11,LAJES CORPORATIVAS,"10,14","36.139,33","0,25","0,02","0,20 %","1,52 %","3,23 %","7,26 %","0,51 %","0,54 %","0,61 %","7,26 %","-1,54 %","-1,34 %","-23,23 %","98.718.676,31","40,88","0,25","0,17 %","-7,28 %","-7,12 %","-22,49 %",1,"26,21",23.938,N/A,N/A,N/A
XPHT11,HOTÉIS,"123,00","230.869,59","1,05","0,41","0,91 %","2,81 %","109,59 %","117,20 %","0,94 %","18,27 %","9,77 %","114,34 %","3,40 %","4,34 %","-9,12 %","396.161.722,38","42,97","2,86","0,95 %","-54,39 %","-53,96 %","-49,95 %",12,"29,85",684,N/A,N/A,N/A
XPID11,FUNDO DE DESENVOLVIMENTO,"87,20","591.326,62",N/A,"0,75","0,86 %","2,25 %","4,45 %","8,13 %","0,75 %","0,74 %","0,68 %","15,97 %","1,10 %","1,97 %","17,92 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"11,08",0,N/A,N/A,N/A
XPIE11,N/A,"86,10","1.302.322,19",N/A,"1,50","1,72 %","2,80 %","8,23 %","27,44 %","0,93 %","1,37 %","2,29 %","11,94 %","9,94 %","11,83 %","32,94 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"13,30",0,N/A,N/A,N/A
XPIN11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"79,86","1.307.257,29","0,78","0,63","0,77 %","2,28 %","4,63 %","9,92 %","0,76 %","0,77 %","0,83 %","9,04 %","-4,89 %","-4,16 %","20,24 %","734.050.595,91","102,66","0,78","0,61 %","-1,18 %","-0,58 %","0,87 %",98,"15,12",47.837,N/A,N/A,N/A
XPLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"109,17","9.900.497,19","0,99","0,78","0,72 %","2,17 %","4,23 %","8,75 %","0,72 %","0,71 %","0,73 %","8,75 %","1,27 %","2,00 %","19,92 %","3.282.308.371,27","110,14","0,99","0,71 %","-3,32 %","-2,63 %","8,70 %",20,"12,23",314.755,N/A,N/A,N/A
XPML11,SHOPPINGS,"114,75","14.088.113,33","1,05","0,90","0,80 %","2,31 %","4,63 %","9,50 %","0,77 %","0,77 %","0,79 %","8,59 %","-1,10 %","-0,31 %","23,83 %","3.449.365.012,08","111,91","1,03","0,80 %","10,87 %","11,76 %","19,76 %",12,"13,17",396.609,N/A,N/A,N/A
XPPR11,LAJES CORPORATIVAS,"22,16","461.312,43","0,32","0,10","0,44 %","1,50 %","2,86 %","5,79 %","0,50 %","0,48 %","0,48 %","5,79 %","23,54 %","24,08 %","-25,19 %","508.348.739,96","69,48","0,32","0,14 %","-6,58 %","-6,44 %","-9,97 %",5,"24,43",55.515,N/A,N/A,N/A
XPSF11,FUNDO DE FUNDOS,"8,34","670.094,24","0,97","0,08","0,90 %","2,79 %","5,44 %","11,74 %","0,93 %","0,91 %","0,98 %","11,74 %","5,45 %","6,40 %","23,04 %","366.899.960,44","8,47","0,98","0,89 %","1,44 %","2,34 %","-89,30 %",0,"14,45",59.102,N/A,N/A,N/A
XTED11,LAJES CORPORATIVAS,"8,82","17.641,88","0,68","11,16",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"67.378.204,04","28,02","0,31","0,00 %","-0,36 %","-0,36 %","-3,45 %",1,"29,46",4.098,N/A,N/A,N/A
YUFI11,FUNDO DE DESENVOLVIMENTO,"88,49","88,00","0,86","0,39","0,00 %","0,00 %","0,70 %","1,09 %","0,00 %","0,12 %","0,09 %","1,09 %","0,00 %","0,00 %",N/A,"50.464.698,72",N/A,N/A,N/A,N/A,N/A,N/A,28,"196,76",60,N/A,N/A,N/A
YUFI11B,INDEFINIDO,N/A,N/A,N/A,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"0,00 %","0,00 %","0,00 %",N/A,"105,53",N/A,"0,60 %","-0,01 %","0,59 %","6,32 %",0,N/A,0,N/A,N/A,N/A
ZAVI11,INDEFINIDO,"129,12","326.688,62","0,95","1,24","0,99 %","2,84 %","5,55 %","10,70 %","0,95 %","0,93 %","0,89 %","10,70 %","-1,51 %","-0,53 %","6,96 %","158.366.546,99",N/A,N/A,N/A,N/A,N/A,N/A,9,"20,35",4.790,N/A,N/A,N/A
ZIFI11,FUNDO DE DESENVOLVIMENTO,"849,00","45.259,00","0,71","3,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"57.059.012,53",N/A,N/A,N/A,N/A,N/A,N/A,0,"76,05",67,N/A,N/A,N/A
